Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
2851,23/04/2015,Simplilearn,Online Certification Courses,,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"1,50,00,000",Series C
2852,23/04/2015,Craftstvilla,Ethnic Product eCommerce,,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"1,80,00,000",Series B
2853,23/04/2015,HeadOut,Last Minute Travel Deals mobile marketplace,,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,"18,00,000",
2854,23/04/2015,happay,usiness expense management,,Bangalore,AngelPrime,Seed Funding,"5,00,000",
2855,23/04/2015,Jugnoo,Auto Rickshaw based Logistics,,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,"10,00,000",
2856,23/04/2015,EazyDiner,Restaurant reservation app,,New Delhi,"Deepak Shahdadpuri, Gulpreet Kohli",Seed Funding,,
2857,23/04/2015,Phone Warrior,Spam Call block App,,New Delhi,Lightspeed Ventures,Seed Funding,,Pre-Series A
2858,24/04/2015,Coverfox,Online Insurance Aggregator,,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,"1,20,00,000",Series B
2859,27/04/2015,Torqus,Restaurant Management Platform,,Pune,S S Mukherji & Others,Seed Funding,"3,50,000",
2860,27/04/2015,Grab,Food Logistics & Delivery,,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,"10,00,000",
2861,27/04/2015,LogicRoots,Interactive Educational Games,,Jaipur,"Ah! Ventures, Calcutta Angels,\\xc2\\xa0 91SpringBoard",Seed Funding,"4,00,000",
2862,27/04/2015,GIBBS,Clean Tech,,New Delhi,Infuse Ventures fund,Private Equity,,Series B
2863,28/04/2015,Babajobs,Grey collar Job Board,,Bangalore,SEEK Ltd & affiliates,Private Equity,"1,00,00,000",Series B
2864,28/04/2015,Urban Ladder,Online Furniture ecommerce,,Bangalore,"Anand Rajaraman, Venky Harinarayan",Private Equity,,Series D
2865,28/04/2015,Jay Robotix,Robotic Program learning,,Hyderabad,Cross Border Angels & others,Seed Funding,"2,50,000",
2866,28/04/2015,Naaptol.com,Tele-Shopping / eCommerce,,Mumbai,Mitsui & Co & existing investors,Private Equity,"2,15,00,000",Series C
2867,29/04/2015,ReGlobe,Used Gadgets Buy / Refurbishing,,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,"10,00,000",
2868,29/04/2015,Icertis,Cloud Enterprise Software,,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,"60,00,000",Series A
2869,29/04/2015,Tracxn,Startup Analytics platform,,Bangalore,SAIF Partners,Private Equity,"35,00,000",Series A
